,英雄名,勝率,選取率,位置
0,札克,52.68%,11.83%,打野
1,伊莉絲,50.62%,15.99%,打野
2,艾克,51.58%,10.69%,打野
3,雷珂煞,51.12%,8.02%,打野
4,希瓦娜,52.44%,6.03%,打野
5,卡爾瑟斯,52.25%,4.11%,打野
6,葛雷夫,50.65%,13.07%,打野
7,李星,48.06%,30.48%,打野
8,易大師,51.65%,4.24%,打野
9,歐拉夫,51.20%,5.17%,打野
10,拉姆斯,52.23%,3.22%,打野
11,悟空,50.06%,4.40%,打野
12,薩科,50.76%,3.61%,打野
13,伊芙琳,51.31%,2.32%,打野
14,奈德麗,49.05%,6.88%,打野
15,努努和威朗普,51.65%,3.28%,打野
16,嘉文四世,48.69%,14.44%,打野
17,特朗德,53.44%,1.68%,打野
18,蒙多醫生,54.44%,0.76%,打野
19,鏡爪,49.88%,3.68%,打野
20,趙信,51.23%,2.46%,打野
21,賈克斯,51.31%,1.53%,打野
22,阿姆姆,52.43%,1.85%,打野
23,卡力斯,51.76%,1.94%,打野
24,波比,51.29%,1.42%,打野
25,塔莉雅,51.30%,1.79%,打野
26,慨影,48.44%,4.44%,打野
27,黛安娜,50.62%,0.70%,打野
28,沃維克,49.61%,2.61%,打野
29,烏迪爾,52.55%,0.53%,打野
30,弗力貝爾,51.63%,0.73%,打野
31,古拉格斯,47.71%,5.88%,打野
32,賽勒斯,46.86%,2.73%,打野
33,史瓦妮,48.34%,3.45%,打野
34,費德提克,50.64%,0.59%,打野
35,埃爾文,50.62%,0.61%,打野
36,夜曲,47.60%,1.55%,打野
37,菲艾,48.48%,1.67%,打野
38,赫克林,47.66%,2.06%,打野
39,潘森,45.36%,0.76%,打野
40,雷葛爾,46.89%,0.59%,打野
41,提摩,45.21%,0.52%,打野
42,慎,44.05%,0.67%,打野
