,英雄名,勝率,選取率,位置
0,飛斯,52.26%,6.86%,中單
1,塔隆,52.95%,6.39%,中單
2,夜曲,53.47%,4.70%,中單
3,黛安娜,51.72%,8.38%,中單
4,卡特蓮娜,52.24%,7.29%,中單
5,蓋倫,53.39%,2.61%,中單
6,卡莎碧雅,53.00%,4.17%,中單
7,柔依,51.03%,7.36%,中單
8,克雷德,55.16%,1.11%,中單
9,艾克,51.65%,4.73%,中單
10,潘森,50.14%,6.80%,中單
11,卡薩丁,50.75%,4.79%,中單
12,悟空,52.61%,1.56%,中單
13,阿璃,51.62%,5.54%,中單
14,弗拉迪米爾,50.40%,5.31%,中單
15,馬爾札哈,51.92%,2.42%,中單
16,派克,52.87%,1.22%,中單
17,雷尼克頓,52.27%,1.76%,中單
18,劫,49.72%,5.88%,中單
19,犽宿,47.75%,9.37%,中單
20,勒布朗,47.81%,9.25%,中單
21,逆命,49.78%,8.22%,中單
22,姬亞娜,50.21%,3.59%,中單
23,星朵拉,50.47%,4.91%,中單
24,翱銳龍獸,54.34%,0.96%,中單
25,賽勒斯,47.40%,11.96%,中單
26,艾妮維亞,50.36%,3.15%,中單
27,藍寶,50.14%,3.89%,中單
28,卡蜜兒,53.59%,0.75%,中單
29,魔鬥凱薩,50.60%,1.18%,中單
30,極靈,52.15%,0.83%,中單
31,科加斯,54.12%,0.54%,中單
32,賽特,49.49%,1.59%,中單
33,厄薩斯,50.27%,1.63%,中單
34,杰西,50.39%,1.24%,中單
35,齊勒斯,49.42%,1.86%,中單
36,妮可,50.64%,0.92%,中單
37,鄂爾,48.66%,1.41%,中單
38,伊瑞莉雅,45.48%,6.48%,中單
39,雷茲,47.71%,3.21%,中單
40,墨菲特,50.49%,0.77%,中單
41,奧莉安娜,46.95%,4.04%,中單
42,麗珊卓,48.52%,1.97%,中單
43,維迦,49.72%,1.14%,中單
44,威寇茲,50.86%,0.70%,中單
45,安妮,50.69%,0.63%,中單
46,維克特,48.29%,2.15%,中單
47,阿卡莉,46.15%,3.05%,中單
48,加里歐,47.87%,2.03%,中單
49,塔莉雅,50.00%,0.58%,中單
50,阿祈爾,47.34%,1.67%,中單
51,路西恩,45.36%,2.81%,中單
52,希格斯,46.45%,0.89%,中單
53,拉克絲,46.41%,0.74%,中單
