,英雄名,勝率,選取率,位置
0,雷歐娜,52.15%,11.64%,輔助
1,巴德,53.71%,7.40%,輔助
2,姍娜,50.44%,14.59%,輔助
3,布里茨,50.31%,14.00%,輔助
4,極靈,52.96%,5.45%,輔助
5,茂凱,54.80%,2.55%,輔助
6,瑟雷西,48.73%,24.80%,輔助
7,薩科,52.97%,2.14%,輔助
8,納帝魯斯,48.84%,12.74%,輔助
9,塔里克,52.51%,2.70%,輔助
10,魔甘娜,48.59%,9.16%,輔助
11,娜米,52.63%,5.49%,輔助
12,賽特,51.22%,2.70%,輔助
13,珍娜,52.36%,4.55%,輔助
14,露璐,50.83%,5.90%,輔助
15,悠咪,48.82%,8.89%,輔助
16,派克,47.69%,10.59%,輔助
17,費德提克,51.49%,2.11%,輔助
18,銳空,51.20%,3.19%,輔助
19,索娜,52.75%,1.79%,輔助
20,卡瑪,49.32%,6.53%,輔助
21,布郎姆,49.89%,4.02%,輔助
22,亞歷斯塔,49.62%,4.92%,輔助
23,斯溫,49.47%,2.34%,輔助
24,齊勒斯,48.66%,3.80%,輔助
25,拉克絲,49.75%,2.97%,輔助
26,枷蘿,50.03%,1.92%,輔助
27,索拉卡,48.38%,3.71%,輔助
28,威寇茲,50.43%,1.75%,輔助
29,貪啃奇,48.98%,1.44%,輔助
30,布蘭德,48.98%,1.59%,輔助
31,弗力貝爾,48.88%,1.11%,輔助
32,加里歐,49.17%,0.72%,輔助
33,慎,48.61%,1.01%,輔助
34,妮可,48.55%,0.63%,輔助
35,維迦,48.33%,0.58%,輔助
36,藍寶,46.40%,0.65%,輔助
37,波比,46.19%,0.67%,輔助
