,英雄名,勝率,選取率,位置
0,悟空,53.27%,9.36%,上單
1,蓋倫,52.71%,13.09%,上單
2,達瑞斯,49.74%,8.96%,上單
3,菲歐拉,50.98%,6.39%,上單
4,克雷德,52.46%,3.81%,上單
5,賽特,49.50%,11.53%,上單
6,雷尼克頓,49.87%,10.29%,上單
7,魔鬥凱薩,49.22%,10.44%,上單
8,茂凱,52.24%,5.56%,上單
9,賈克斯,50.68%,7.36%,上單
10,弗拉迪米爾,50.24%,4.94%,上單
11,波比,51.79%,3.50%,上單
12,鄂爾,49.12%,8.52%,上單
13,厄薩斯,49.10%,9.90%,上單
14,札克,50.73%,1.70%,上單
15,葵恩,51.19%,1.32%,上單
16,雷葛爾,51.08%,2.55%,上單
17,剛普朗克,50.15%,2.94%,上單
18,慎,51.30%,3.75%,上單
19,伊瑞莉雅,47.27%,10.52%,上單
20,伊羅旖,50.47%,1.95%,上單
21,提摩,50.12%,2.23%,上單
22,潘森,49.97%,1.71%,上單
23,辛吉德,51.44%,1.95%,上單
24,凱爾,50.47%,2.56%,上單
25,墨菲特,50.00%,3.53%,上單
26,弗力貝爾,50.96%,2.37%,上單
27,卡蜜兒,50.85%,2.73%,上單
28,賽勒斯,47.47%,5.17%,上單
29,漢默丁格,51.91%,0.77%,上單
30,約瑞科,51.26%,1.16%,上單
31,犽宿,48.27%,1.47%,上單
32,妮可,52.39%,0.52%,上單
33,雷玟,50.68%,1.66%,上單
34,歐拉夫,49.08%,1.00%,上單
35,杰西,49.55%,1.57%,上單
36,汎,48.00%,1.82%,上單
37,特朗德,52.17%,0.57%,上單
38,吶兒,49.91%,1.16%,上單
39,泰達米爾,47.86%,2.25%,上單
40,赫克林,50.62%,0.79%,上單
41,藍寶,48.46%,1.33%,上單
42,凱能,47.41%,1.77%,上單
43,阿卡莉,45.84%,2.70%,上單
44,雷茲,47.81%,1.46%,上單
45,賽恩,50.00%,0.73%,上單
46,路西恩,47.15%,1.77%,上單
47,烏爾加特,48.18%,1.31%,上單
48,克黎思妲,47.68%,0.86%,上單
49,納瑟斯,45.59%,2.22%,上單
50,蒙多醫生,47.45%,0.93%,上單
51,科加斯,47.85%,0.58%,上單
